[Epoch 97] Train-acc: 0.964 | loss: 1.188 | Val-acc: 0.732 | time: 10.3 
[Epoch 98] Train-acc: 0.971 | loss: 0.753 | Val-acc: 0.732 | time: 10.1 
[Epoch 99] Train-acc: 0.960 | loss: 0.711 | Val-acc: 0.780 | time: 10.0 
[Epoch 100] Train-acc: 0.982 | loss: 0.553 | Val-acc: 0.732 | time: 9.5 
[Epoch 101] Train-acc: 0.985 | loss: 0.391 | Val-acc: 0.756 | time: 10.5 
[Epoch 102] Train-acc: 0.982 | loss: 0.433 | Val-acc: 0.829 | time: 11.8 0.814190687361419
[Epoch 103] Train-acc: 0.975 | loss: 0.529 | Val-acc: 0.732 | time: 11.0 
[Epoch 104] Train-acc: 0.978 | loss: 0.619 | Val-acc: 0.732 | time: 10.9 
[Epoch 105] Train-acc: 0.985 | loss: 0.356 | Val-acc: 0.756 | time: 10.1 
[Epoch 106] Train-acc: 0.975 | loss: 0.689 | Val-acc: 0.780 | time: 10.8 
[Epoch 107] Train-acc: 0.985 | loss: 0.497 | Val-acc: 0.732 | time: 11.5 
[Epoch 108] Train-acc: 0.985 | loss: 0.243 | Val-acc: 0.756 | time: 10.9 
[Epoch 109] Train-acc: 0.971 | loss: 0.928 | Val-acc: 0.780 | time: 10.9 
[Epoch 110] Train-acc: 0.982 | loss: 0.467 | Val-acc: 0.805 | time: 11.4 
[Epoch 111] Train-acc: 0.982 | loss: 0.338 | Val-acc: 0.805 | time: 11.0 
[Epoch 112] Train-acc: 0.971 | loss: 1.300 | Val-acc: 0.780 | time: 10.8 
[Epoch 113] Train-acc: 0.945 | loss: 1.881 | Val-acc: 0.707 | time: 11.9 
[Epoch 114] Train-acc: 0.982 | loss: 0.374 | Val-acc: 0.756 | time: 11.0 
[Epoch 115] Train-acc: 0.989 | loss: 0.775 | Val-acc: 0.780 | time: 44.5 
[Epoch 116] Train-acc: 0.964 | loss: 0.634 | Val-acc: 0.805 | time: 42.9 
[Epoch 117] Train-acc: 0.985 | loss: 0.311 | Val-acc: 0.780 | time: 44.9 
[Epoch 118] Train-acc: 0.975 | loss: 1.308 | Val-acc: 0.707 | time: 43.6 
[Epoch 119] Train-acc: 0.975 | loss: 0.666 | Val-acc: 0.756 | time: 44.0 
[Epoch 120] Train-acc: 0.975 | loss: 0.519 | Val-acc: 0.780 | time: 43.7 
[Epoch 121] Train-acc: 0.989 | loss: 0.287 | Val-acc: 0.805 | time: 27.6 
[Epoch 122] Train-acc: 0.978 | loss: 0.558 | Val-acc: 0.732 | time: 22.4 
[Epoch 123] Train-acc: 0.989 | loss: 0.226 | Val-acc: 0.780 | time: 14.4 
[Epoch 124] Train-acc: 0.975 | loss: 1.092 | Val-acc: 0.805 | time: 19.6 
[Epoch 125] Train-acc: 0.985 | loss: 0.390 | Val-acc: 0.756 | time: 44.9 
